lat,lon,eventDate,maximumDepthInMeters,depth,scientificName,basisOfRecord,depth_m,eventDate_parsed
14.15,61.12,1963-03-19/1964-09-21,4052.0,4052.0,Flaccisagitta enflata,HumanObservation,4052.0,
22.37,60.08,1963-03-19/1964-09-21,2724.0,2724.0,Flaccisagitta enflata,HumanObservation,2724.0,
1.0,88.87,1962/1965,3975.0,3975.0,Flaccisagitta enflata,HumanObservation,3975.0,
-0.02,65.07,1963-03-19/1964-09-21,3385.0,3385.0,Flaccisagitta enflata,HumanObservation,3385.0,
14.92,55.03,1963-03-19/1964-09-21,4316.0,4316.0,Flaccisagitta enflata,HumanObservation,4316.0,
13.17,81.28,1959/1965,3050.0,3050.0,Flaccisagitta enflata,HumanObservation,3050.0,
-15.42,44.37,1963-03-19/1964-09-21,2570.0,2570.0,Flaccisagitta enflata,HumanObservation,2570.0,
-4.75,95.0,1962/1965,4770.0,4770.0,Flaccisagitta enflata,HumanObservation,4770.0,
-27.5,110.0,1962/1965,5485.0,5485.0,Flaccisagitta enflata,HumanObservation,5485.0,
-25.83,110.0,1962/1965,3795.0,3795.0,Flaccisagitta enflata,HumanObservation,3795.0,
-20.0,110.0,1962/1965,4207.0,4207.0,Flaccisagitta enflata,HumanObservation,4207.0,
-8.3,55.0,1963-03-19/1964-09-21,3858.0,3858.0,Flaccisagitta enflata,HumanObservation,3858.0,
6.83,75.03,1963-03-19/1964-09-21,5057.0,5057.0,Flaccisagitta enflata,HumanObservation,5057.0,
-24.02,64.0,1963-03-19/1964-09-21,3946.0,3946.0,Flaccisagitta enflata,HumanObservation,3946.0,
-14.0,105.15,1962/1965,5760.0,5760.0,Flaccisagitta enflata,HumanObservation,5760.0,
-29.0,110.0,1962/1965,5430.0,5430.0,Flaccisagitta enflata,HumanObservation,5430.0,
14.37,54.3,1963-03-19/1964-09-21,1994.0,1994.0,Flaccisagitta enflata,HumanObservation,1994.0,
-20.0,110.0,1962/1965,4435.0,4435.0,Flaccisagitta enflata,HumanObservation,4435.0,
6.02,64.98,1963-03-19/1964-09-21,4609.0,4609.0,Flaccisagitta enflata,HumanObservation,4609.0,
-37.02,75.32,1963-03-19/1964-09-21,3528.0,3528.0,Flaccisagitta enflata,HumanObservation,3528.0,
10.6,72.74,1960/1965,,,Flaccisagitta enflata,HumanObservation,,
-2.0,59.98,1963-03-19/1964-09-21,4315.0,4315.0,Flaccisagitta enflata,HumanObservation,4315.0,
-8.75,43.65,1963-03-19/1964-09-21,3850.0,3850.0,Flaccisagitta enflata,HumanObservation,3850.0,
10.68,94.67,1959/1965,2743.0,2743.0,Flaccisagitta enflata,HumanObservation,2743.0,
-18.5,110.0,1962/1965,4846.0,4846.0,Flaccisagitta enflata,HumanObservation,4846.0,
19.38,92.55,1959/1965,1050.0,1050.0,Flaccisagitta enflata,HumanObservation,1050.0,
13.28,80.73,1959/1965,1000.0,1000.0,Flaccisagitta enflata,HumanObservation,1000.0,
-13.37,47.9,1963-03-19/1964-09-21,1050.0,1050.0,Flaccisagitta enflata,HumanObservation,1050.0,
1.9,79.87,1963-03-19/1964-09-21,4188.0,4188.0,Flaccisagitta enflata,HumanObservation,4188.0,
-23.0,110.0,1962/1965,4938.0,4938.0,Flaccisagitta enflata,HumanObservation,4938.0,
-29.0,110.0,1962/1965,5486.0,5486.0,Flaccisagitta enflata,HumanObservation,5486.0,
3.97,65.03,1963-03-19/1964-09-21,3374.0,3374.0,Flaccisagitta enflata,HumanObservation,3374.0,
15.13,94.07,1959/1965,50.0,50.0,Flaccisagitta enflata,HumanObservation,50.0,
-29.0,110.0,1962/1965,5486.0,5486.0,Flaccisagitta enflata,HumanObservation,5486.0,
14.88,88.67,1959/1965,2789.0,2789.0,Flaccisagitta enflata,HumanObservation,2789.0,
-30.18,79.7,1963-03-19/1964-09-21,3310.0,3310.0,Flaccisagitta enflata,HumanObservation,3310.0,
-15.5,110.0,1962/1965,5669.0,5669.0,Flaccisagitta enflata,HumanObservation,5669.0,
4.08,59.97,1963-03-19/1964-09-21,4250.0,4250.0,Flaccisagitta enflata,HumanObservation,4250.0,
-3.57,40.88,1963-03-19/1964-09-21,1870.0,1870.0,Flaccisagitta enflata,HumanObservation,1870.0,
19.53,92.87,1959/1965,64.0,64.0,Flaccisagitta enflata,HumanObservation,64.0,
-21.18,36.38,1963-03-19/1964-09-21,1450.0,1450.0,Flaccisagitta enflata,HumanObservation,1450.0,
-34.8,110.0,1962/1965,3292.0,3292.0,Flaccisagitta enflata,HumanObservation,3292.0,
12.0,45.85,1959/1965,1200.0,1200.0,Flaccisagitta enflata,HumanObservation,1200.0,
-27.0,105.03,1962/1965,4663.0,4663.0,Flaccisagitta enflata,HumanObservation,4663.0,
12.87,97.67,1959/1965,64.0,64.0,Flaccisagitta enflata,HumanObservation,64.0,
14.97,91.28,1959/1965,2651.0,2651.0,Flaccisagitta enflata,HumanObservation,2651.0,
-34.95,38.82,1963-03-19/1964-09-21,5093.0,5093.0,Flaccisagitta enflata,HumanObservation,5093.0,
-7.25,95.0,1962/1965,4930.0,4930.0,Flaccisagitta enflata,HumanObservation,4930.0,
-36.2,110.0,1962/1965,4938.0,4938.0,Flaccisagitta enflata,HumanObservation,4938.0,
-11.78,74.7,1963-03-19/1964-09-21,4623.0,4623.0,Flaccisagitta enflata,HumanObservation,4623.0,
-19.3,56.55,1963-03-19/1964-09-21,4224.0,4224.0,Flaccisagitta enflata,HumanObservation,4224.0,
-11.0,110.0,1962/1965,5066.0,5066.0,Flaccisagitta enflata,HumanObservation,5066.0,
-32.0,112.0,1962/1965,4846.0,4846.0,Flaccisagitta enflata,HumanObservation,4846.0,
14.12,97.08,1959/1965,62.0,62.0,Flaccisagitta enflata,HumanObservation,62.0,
-29.4,60.08,1963-03-19/1964-09-21,4627.0,4627.0,Flaccisagitta enflata,HumanObservation,4627.0,
-9.53,109.6,1962/1965,3383.0,3383.0,Flaccisagitta enflata,HumanObservation,3383.0,
-0.55,80.13,1963-03-19/1964-09-21,4629.0,4629.0,Flaccisagitta enflata,HumanObservation,4629.0,
9.2,97.85,1959/1965,56.0,56.0,Flaccisagitta enflata,HumanObservation,56.0,
-2.3,75.3,1963-03-19/1964-09-21,4662.0,4662.0,Flaccisagitta enflata,HumanObservation,4662.0,
-8.5,95.0,1962/1965,5210.0,5210.0,Flaccisagitta enflata,HumanObservation,5210.0,
-32.92,35.35,1963-03-19/1964-09-21,1370.0,1370.0,Flaccisagitta enflata,HumanObservation,1370.0,
8.48,97.98,1959/1965,70.0,70.0,Flaccisagitta enflata,HumanObservation,70.0,
14.37,85.33,1959/1965,3040.0,3040.0,Flaccisagitta enflata,HumanObservation,3040.0,
-19.95,54.63,1963-03-19/1964-09-21,4363.0,4363.0,Flaccisagitta enflata,HumanObservation,4363.0,
-26.1,64.97,1963-03-19/1964-09-21,4627.0,4627.0,Flaccisagitta enflata,HumanObservation,4627.0,
13.57,52.02,1959/1965,2000.0,2000.0,Flaccisagitta enflata,HumanObservation,2000.0,
